Student_ID,Vocational_Training,Employment_Status
1,Completed,Employed
2,Completed,Employed
3,Completed,Unemployed
4,Not Completed,Unemployed
5,Completed,Employed
6,Not Completed,Employed
7,Completed,Employed
8,Not Completed,Unemployed
9,Not Completed,Employed
10,Completed,Employed
11,Not Completed,Unemployed
12,Completed,Employed
13,Not Completed,Unemployed
14,Completed,Employed
15,Not Completed,Employed
16,Not Completed,Unemployed
17,Completed,Employed
18,Completed,Employed
19,Not Completed,Unemployed
20,Completed,Employed
